ID,deaths_r,deaths_nr,deaths,pestfield,dis_pestf,dis_sewers,dis_bspump
29,0,0,0,1,  24.739999999999998,  24.739999999999998, 142.150000000000006
30,6,0,6,1,  19.829999999999998,  19.829999999999998, 145.930000000000007
31,0,0,0,1,  15.770000000000000,  15.770000000000000, 149.169999999999987
32,0,0,0,1,  12.430000000000000,  12.430000000000000, 152.099999999999994
33,0,0,0,1,   9.880000000000001,   9.880000000000001, 154.719999999999999
34,0,0,0,1,   9.990000000000000,   9.990000000000000, 170.849999999999994
35,0,0,0,1,  11.830000000000000,  11.830000000000000, 167.330000000000013
36,0,0,0,1,  14.859999999999999,  14.859999999999999, 163.229999999999990
37,0,0,0,1,  18.609999999999999,  18.609999999999999, 159.789999999999992
38,0,0,0,1,  23.949999999999999,  23.949999999999999, 155.580000000000013
39,0,0,0,1,  18.739999999999998,  18.739999999999998, 151.490000000000009
40,0,0,0,1,  13.190000000000000,  13.190000000000000, 147.169999999999987
41,0,0,0,1,   8.949999999999999,   8.949999999999999, 143.159999999999997
42,1,0,1,1,  34.020000000000003,  34.020000000000003, 116.109999999999999
43,2,0,2,1,  37.759999999999998,  37.759999999999998, 113.230000000000004
44,0,0,0,1,  42.869999999999997,  42.869999999999997, 109.920000000000002
45,0,0,0,1,  33.469999999999999,  33.469999999999999, 107.409999999999997
46,2,0,2,1,  17.609999999999999,  17.609999999999999, 103.340000000000003
47,0,0,0,1,  12.330000000000000,  12.330000000000000,  97.730000000000004
48,2,0,2,1,  10.930000000000000,  10.930000000000000,  95.189999999999998
49,0,0,0,1,  12.850000000000000,  12.850000000000000,  93.689999999999998
50,0,0,0,1,  16.210000000000001,  16.210000000000001,  92.150000000000006
51,2,0,2,1,  20.160000000000000,  20.160000000000000,  90.750000000000000
52,5,0,5,1,  26.480000000000000,  26.480000000000000,  91.129999999999995
53,3,0,3,1,  20.489999999999998,  20.489999999999998,  90.349999999999994
54,0,0,0,1,  23.070000000000000,  23.070000000000000,  90.530000000000001
55,1,0,1,1,  25.690000000000001,  25.690000000000001,  91.599999999999994
56,0,0,0,1,  29.239999999999998,  29.239999999999998,  92.650000000000006
57,1,0,1,1,  33.950000000000003,  33.950000000000003,  95.680000000000007
58,1,0,1,1,  43.159999999999997,  31.660000000000000,  97.510000000000005
59,2,0,2,1,  34.539999999999999,  37.329999999999998,  39.850000000000001
60,1,1,2,1,  29.469999999999999,  29.469999999999999,  45.170000000000002
61,0,0,0,1,  24.460000000000001,  24.460000000000001,  49.750000000000000
62,3,0,3,1,  21.059999999999999,  21.059999999999999,  54.630000000000003
63,2,0,2,1,  15.960000000000001,  15.960000000000001,  59.960000000000001
64,3,0,3,1,  12.180000000000000,  12.180000000000000,  64.319999999999993
65,1,0,1,1,  10.490000000000000,  10.490000000000000,  70.409999999999997
66,3,0,3,1,  12.949999999999999,  12.949999999999999,  76.359999999999999
67,0,0,0,1,  19.699999999999999,  19.699999999999999,  77.219999999999999
68,2,0,2,1,  24.289999999999999,  24.289999999999999,  78.769999999999996
69,3,0,3,1,  56.310000000000002,  56.310000000000002,  58.649999999999999
70,1,0,1,1,  50.890000000000001,  50.890000000000001,  53.990000000000002
71,0,0,0,1,  46.140000000000001,  46.140000000000001,  50.000000000000000
72,0,0,0,1,  42.520000000000003,  42.520000000000003,  45.630000000000003
73,1,0,1,1,  37.579999999999998,  37.579999999999998,  42.810000000000002
74,0,0,0,1,  35.930000000000000,  35.930000000000000,  36.750000000000000
75,0,0,0,1,  11.560000000000000,  11.560000000000000,  72.879999999999995
76,0,0,0,1,  11.789999999999999,  11.789999999999999,  67.290000000000006
77,2,0,2,1,  15.199999999999999,  15.199999999999999,  61.490000000000002
78,0,0,0,1,  17.609999999999999,  17.609999999999999,  56.579999999999998
79,1,0,1,1,  25.199999999999999,  25.199999999999999,  48.229999999999997
80,1,0,1,1,  31.370000000000001,  31.370000000000001,  41.460000000000001
81,0,0,0,1,  25.789999999999999,  25.789999999999999,  90.700000000000003
82,4,0,4,1,  19.719999999999999,  19.719999999999999,  87.150000000000006
83,0,0,0,1,  14.920000000000000,  14.920000000000000,  83.950000000000003
84,3,0,3,1,  11.070000000000000,  11.070000000000000,  80.549999999999997
85,2,0,2,1,   8.320000000000000,   8.320000000000000,  78.579999999999998
86,2,0,2,1,   8.109999999999999,   8.109999999999999,  77.719999999999999
87,1,0,1,1,  12.390000000000001,  12.390000000000001,  75.489999999999995
88,4,0,4,1,  16.480000000000000,  16.480000000000000,  74.859999999999999
89,0,0,0,1,  12.470000000000001,  12.470000000000001,  74.290000000000006
90,4,0,4,1,  39.890000000000001,  39.890000000000001, 114.299999999999997
91,3,0,3,1,  23.430000000000000,  23.430000000000000, 109.060000000000002
92,0,0,0,0, 283.230000000000018,  51.719999999999999, 442.990000000000009
93,0,0,0,0, 277.550000000000011,  46.509999999999998, 437.449999999999989
94,0,0,0,0, 266.860000000000014,  34.829999999999998, 427.399999999999977
95,0,0,0,0, 270.699999999999989,  41.829999999999998, 430.529999999999973
96,0,0,0,0, 262.699999999999989,  28.739999999999998, 423.730000000000018
97,0,0,0,0, 257.430000000000007,  20.300000000000001, 419.149999999999977
98,0,0,0,0, 252.479999999999990,  13.220000000000001, 414.680000000000007
99,0,0,0,0, 248.259999999999991,   6.960000000000000, 410.910000000000025
100,0,0,0,0, 255.879999999999995,  14.279999999999999, 418.610000000000014
101,0,0,0,0, 242.240000000000009,  16.590000000000000, 406.339999999999975
102,0,0,0,0, 233.479999999999990,  10.320000000000000, 397.360000000000014
103,0,0,0,0, 229.819999999999993,  18.210000000000001, 393.990000000000009
104,0,0,0,0, 211.580000000000013,  19.020000000000000, 376.069999999999993
105,0,0,0,0, 208.889999999999986,  15.170000000000000, 373.269999999999982
106,0,0,0,0, 203.930000000000007,  11.510000000000000, 368.139999999999986
107,0,0,0,0, 188.669999999999987,  27.230000000000000, 351.500000000000000
108,0,0,0,0, 185.169999999999987,  15.550000000000001, 347.100000000000023
109,0,0,0,0, 181.409999999999997,  11.570000000000000, 343.079999999999984
110,0,0,0,0, 179.009999999999991,   9.980000000000000, 340.129999999999995
111,0,0,0,0, 170.819999999999993,  22.890000000000001, 328.879999999999995
112,0,0,0,0, 167.539999999999992,  25.480000000000000, 325.120000000000005
113,0,0,0,0, 166.139999999999986,  30.730000000000000, 322.660000000000025
114,0,0,0,0, 164.229999999999990,  36.850000000000001, 319.420000000000016
115,0,0,0,0, 162.539999999999992,  30.410000000000000, 316.279999999999973
116,0,0,0,0, 161.629999999999995,  24.690000000000001, 313.750000000000000
117,0,0,0,0, 160.830000000000013,  18.539999999999999, 310.930000000000007
118,0,0,0,0, 158.870000000000005,  13.220000000000001, 307.350000000000023
119,0,0,0,0, 158.840000000000003,   9.869999999999999, 304.810000000000002
120,0,0,0,0, 163.150000000000006,  13.460000000000001, 294.839999999999975
121,0,0,0,0, 164.539999999999992,  20.710000000000001, 289.459999999999980
122,0,0,0,0, 168.870000000000005,  33.780000000000001, 286.430000000000007
123,0,0,0,0, 169.960000000000008,  39.820000000000000, 283.879999999999995
124,0,0,0,0, 172.439999999999998,  47.530000000000001, 282.850000000000023
125,0,0,0,0, 174.360000000000014,  53.520000000000003, 280.670000000000016
126,0,0,0,0, 178.210000000000008,  61.969999999999999, 279.240000000000009
127,0,0,0,0, 181.520000000000010,  67.250000000000000, 279.610000000000014
128,0,0,0,0, 184.580000000000013,  44.600000000000001, 278.079999999999984
129,0,0,0,0, 188.060000000000002,  38.820000000000000, 277.990000000000009
130,0,0,0,0, 191.819999999999993,  33.450000000000003, 278.310000000000002
131,0,0,0,0, 242.960000000000008,  34.560000000000002, 400.069999999999993
132,0,0,0,0, 240.169999999999987,  31.059999999999999, 397.689999999999998
133,0,0,0,0, 237.030000000000001,  28.100000000000001, 394.850000000000023
134,0,0,0,0, 234.879999999999995,  22.670000000000002, 393.459999999999980
135,0,0,0,0, 230.159999999999997,  18.649999999999999, 389.170000000000016
136,0,0,0,0, 220.629999999999995,   9.580000000000000, 381.170000000000016
137,0,0,0,0, 216.439999999999998,  11.020000000000000, 377.470000000000027
138,0,0,0,0, 212.590000000000003,  17.710000000000001, 374.129999999999995
139,0,0,0,0, 208.759999999999991,  13.140000000000001, 370.810000000000002
140,0,0,0,0, 204.219999999999999,  11.220000000000001, 366.730000000000018
141,0,0,0,0, 189.060000000000002,   8.820000000000000, 353.000000000000000
142,0,0,0,0, 184.300000000000011,  15.970000000000001, 348.519999999999982
143,0,0,0,0, 180.240000000000009,  21.309999999999999, 344.589999999999975
144,0,0,0,0, 176.759999999999991,  26.680000000000000, 341.209999999999980
145,0,0,0,0, 171.870000000000005,  33.500000000000000, 336.379999999999995
146,0,0,0,0, 167.930000000000007,  29.859999999999999, 332.430000000000007
147,0,0,0,0, 163.830000000000013,  24.250000000000000, 328.250000000000000
148,0,0,0,0, 159.659999999999997,  17.989999999999998, 323.899999999999977
149,0,0,0,0, 156.590000000000003,  13.380000000000001, 320.600000000000023
150,0,0,0,0, 154.039999999999992,  10.720000000000001, 317.810000000000002
151,0,0,0,0, 150.719999999999999,   9.000000000000000, 314.100000000000023
152,0,0,0,0, 141.039999999999992,  10.220000000000001, 302.339999999999975
153,0,0,0,0, 137.810000000000002,  15.880000000000001, 298.009999999999991
154,0,0,0,0, 134.750000000000000,  22.960000000000001, 293.569999999999993
155,0,0,0,0, 132.009999999999991,  31.780000000000001, 288.860000000000014
156,0,0,0,0, 129.370000000000005,  31.350000000000001, 284.350000000000023
157,0,0,0,0, 128.449999999999989,  26.129999999999999, 281.889999999999986
158,0,0,0,0, 126.719999999999999,  18.609999999999999, 277.519999999999982
159,0,0,0,0, 126.489999999999995,  12.810000000000000, 274.779999999999973
160,0,0,0,0, 126.329999999999998,   9.369999999999999, 272.069999999999993
161,0,0,0,0, 125.989999999999995,  17.539999999999999, 265.730000000000018
162,0,0,0,0, 126.390000000000001,  13.890000000000001, 263.689999999999998
163,0,0,0,0, 127.040000000000006,  11.190000000000000, 261.050000000000011
164,0,0,0,0, 128.330000000000013,  12.529999999999999, 258.040000000000020
165,0,0,0,0, 130.090000000000003,  15.150000000000000, 256.899999999999977
166,0,0,0,0, 131.509999999999991,  19.750000000000000, 254.969999999999999
167,0,0,0,0, 134.110000000000014,  24.890000000000001, 253.840000000000003
168,0,0,0,0, 135.909999999999997,  30.870000000000001, 251.740000000000009
169,0,0,0,0, 138.750000000000000,  37.130000000000003, 250.349999999999994
170,0,0,0,0, 141.259999999999991,  34.979999999999997, 248.699999999999989
171,0,0,0,0, 143.919999999999987,  33.880000000000003, 247.240000000000009
172,0,0,0,0, 147.719999999999999,  34.710000000000001, 246.590000000000003
173,0,0,0,0, 152.169999999999987,  36.740000000000002, 245.169999999999987
174,0,0,0,0, 198.500000000000000,  22.340000000000000, 277.569999999999993
175,0,0,0,0, 203.569999999999993,  17.070000000000000, 278.170000000000016
176,0,0,0,0, 157.569999999999993,  45.240000000000002, 243.789999999999992
177,0,0,0,0, 162.419999999999987,  38.719999999999999, 243.759999999999991
178,0,0,0,0, 165.830000000000013,  31.789999999999999, 243.009999999999991
179,0,0,0,0, 169.389999999999986,  27.090000000000000, 243.430000000000007
180,0,0,0,0, 177.189999999999998,  16.840000000000000, 243.379999999999995
181,0,0,0,0, 216.909999999999997,   9.930000000000000, 278.490000000000009
182,0,0,0,0, 223.900000000000006,  18.149999999999999, 286.819999999999993
183,0,0,0,0, 219.650000000000006,  13.180000000000000, 281.810000000000002
184,0,0,0,0, 135.909999999999997,   9.310000000000000, 245.000000000000000
185,0,0,0,0, 171.180000000000007,  13.900000000000000, 279.540000000000020
186,0,0,0,0, 173.580000000000013,  19.930000000000000, 281.230000000000018
187,0,0,0,0, 175.039999999999992,  25.890000000000001, 281.870000000000005
188,0,0,0,0, 178.030000000000001,  33.240000000000002, 283.889999999999986
189,0,0,0,0, 180.460000000000008,  28.199999999999999, 285.290000000000020
190,0,0,0,0, 182.750000000000000,  29.579999999999998, 286.509999999999991
191,0,0,0,0, 136.889999999999986,  13.460000000000001, 245.189999999999998
192,0,0,0,0, 137.810000000000002,  17.239999999999998, 245.509999999999991
193,0,0,0,0, 138.780000000000001,  21.870000000000001, 245.780000000000001
194,0,0,0,0, 140.659999999999997,  15.810000000000000, 246.580000000000013
195,0,0,0,0, 142.879999999999995,  11.199999999999999, 247.860000000000014
196,0,0,0,0, 145.449999999999989,   7.930000000000000, 249.259999999999991
197,0,0,0,0, 148.469999999999999,   9.800000000000001, 250.840000000000003
198,0,0,0,0, 186.569999999999993,  34.119999999999997, 288.689999999999998
199,0,0,0,0, 189.189999999999998,  37.520000000000003, 290.560000000000002
200,0,0,0,0, 155.830000000000013,  20.620000000000001, 255.400000000000006
201,0,0,0,0, 158.439999999999998,  26.750000000000000, 256.550000000000011
202,0,0,0,0, 162.150000000000006,  34.369999999999997, 258.389999999999986
203,0,0,0,0, 194.250000000000000,  45.840000000000003, 293.430000000000007
204,0,0,0,0, 197.139999999999986,  50.549999999999997, 295.230000000000018
205,0,0,0,0, 200.990000000000009,  38.780000000000001, 297.899999999999977
206,0,0,0,0, 202.219999999999999,  33.680000000000000, 297.910000000000025
207,0,0,0,0, 207.819999999999993,  26.100000000000001, 302.170000000000016
208,0,0,0,0, 209.560000000000002,  21.670000000000002, 302.879999999999995
209,0,0,0,0, 215.270000000000010,  12.600000000000000, 306.740000000000009
210,0,0,0,0, 165.289999999999992,  45.570000000000000, 260.370000000000005
211,0,0,0,0, 167.330000000000013,  41.000000000000000, 261.079999999999984
212,0,0,0,0, 171.789999999999992,  34.969999999999999, 264.209999999999980
213,0,0,0,0, 174.610000000000014,  30.410000000000000, 265.800000000000011
214,0,0,0,0, 178.840000000000003,  24.699999999999999, 268.670000000000016
215,0,0,0,0, 181.849999999999994,  20.170000000000002, 270.279999999999973
216,0,0,0,0, 185.020000000000010,  15.980000000000000, 271.899999999999977
217,0,0,0,0, 189.360000000000014,  11.510000000000000, 274.470000000000027
218,0,0,0,0, 192.650000000000006,   7.300000000000000, 276.540000000000020
219,0,0,0,0, 227.330000000000013,   6.270000000000000, 314.040000000000020
220,0,0,0,0, 223.259999999999991,   7.810000000000000, 314.310000000000002
221,0,0,0,0, 232.610000000000014,  11.440000000000000, 318.180000000000007
222,0,0,0,0, 236.939999999999998,  18.000000000000000, 321.069999999999993
223,0,0,0,0, 241.370000000000005,  24.020000000000000, 324.259999999999991
224,0,0,0,0, 246.520000000000010,  30.609999999999999, 328.120000000000005
225,0,0,0,0, 257.560000000000002,  31.190000000000001, 336.410000000000025
226,0,0,0,0, 262.399999999999977,  24.870000000000001, 340.009999999999991
227,0,0,0,0, 266.620000000000005,  18.879999999999999, 342.970000000000027
228,0,0,0,0, 204.719999999999999,   6.960000000000000, 284.870000000000005
229,0,0,0,0, 207.819999999999993,  11.710000000000001, 286.600000000000023
230,0,0,0,0, 213.169999999999987,  17.690000000000001, 290.519999999999982
231,0,0,0,0, 217.659999999999997,  23.960000000000001, 293.399999999999977
232,0,0,0,0, 223.189999999999998,  31.320000000000000, 297.100000000000023
233,0,0,0,0, 229.840000000000003,  42.420000000000002, 301.970000000000027
234,0,0,0,0, 237.030000000000001,  32.119999999999997, 307.129999999999995
235,0,0,0,0, 243.530000000000001,  24.949999999999999, 311.899999999999977
236,0,0,0,0, 249.770000000000010,  18.620000000000001, 316.769999999999982
237,0,0,0,0, 255.069999999999993,  13.940000000000000, 320.899999999999977
238,0,0,0,0, 260.420000000000016,  13.070000000000000, 324.779999999999973
239,0,0,0,0, 265.639999999999986,   7.900000000000000, 328.829999999999984
240,0,0,0,0, 279.029999999999973,   7.620000000000000, 338.870000000000005
241,0,0,0,0, 279.829999999999984,  13.109999999999999, 337.920000000000016
242,0,0,0,0, 279.399999999999977,  21.859999999999999, 334.959999999999980
243,0,0,0,0, 261.129999999999995,  15.199999999999999, 321.980000000000018
244,0,0,0,0, 261.490000000000009,  16.440000000000001, 318.769999999999982
245,0,0,0,0, 254.719999999999999,  14.300000000000001, 310.920000000000016
246,0,0,0,0, 282.879999999999995,  21.190000000000001, 329.230000000000018
247,0,0,0,0, 285.250000000000000,  21.180000000000000, 328.959999999999980
248,0,0,0,0, 276.430000000000007,   5.900000000000000, 307.819999999999993
249,0,0,0,0, 251.900000000000006,  10.570000000000000, 300.660000000000025
250,0,0,0,0, 250.219999999999999,  19.210000000000001, 307.600000000000023
251,0,0,0,0, 245.009999999999991,  25.329999999999998, 303.889999999999986
252,0,0,0,0, 239.289999999999992,  37.789999999999999, 299.339999999999975
253,0,0,0,0, 234.889999999999986,  41.170000000000002, 296.230000000000018
254,0,0,0,0, 228.680000000000007,  45.539999999999999, 291.560000000000002
255,0,0,0,0, 224.479999999999990,  45.890000000000001, 288.970000000000027
256,0,0,0,0, 220.560000000000002,  48.880000000000003, 286.269999999999982
257,0,0,0,0, 215.349999999999994,  41.450000000000003, 282.449999999999989
258,0,0,0,0, 212.669999999999987,  37.950000000000003, 280.819999999999993
259,0,0,0,0, 207.719999999999999,  31.570000000000000, 277.800000000000011
260,0,0,0,0, 201.800000000000011,  25.489999999999998, 272.839999999999975
261,0,0,0,0, 246.870000000000005,  15.410000000000000, 296.170000000000016
262,0,0,0,0, 241.819999999999993,  20.399999999999999, 292.600000000000023
263,0,0,0,0, 238.060000000000002,  25.489999999999998, 289.500000000000000
264,0,0,0,0, 236.250000000000000,  26.859999999999999, 288.689999999999998
265,0,0,0,0, 230.229999999999990,  32.729999999999997, 283.720000000000027
266,0,0,0,0, 226.280000000000001,  36.750000000000000, 281.350000000000023
267,0,0,0,0, 217.990000000000009,  39.020000000000003, 274.699999999999989
268,0,0,0,0, 214.120000000000005,  29.899999999999999, 267.470000000000027
269,0,0,0,0, 218.490000000000009,  32.560000000000002, 270.839999999999975
270,0,0,0,0, 223.379999999999995,  36.100000000000001, 274.720000000000027
271,0,0,0,0, 211.979999999999990,  39.590000000000003, 271.439999999999998
272,0,0,0,0, 203.270000000000010,  38.369999999999997, 264.759999999999991
273,0,0,0,0, 198.580000000000013,  36.710000000000001, 261.939999999999998
274,0,0,0,0, 197.620000000000005,  20.129999999999999, 270.319999999999993
275,0,0,0,0, 179.539999999999992,  17.870000000000001, 249.259999999999991
276,0,0,0,0, 174.050000000000011,  15.160000000000000, 245.500000000000000
277,0,0,0,0, 168.129999999999995,  15.119999999999999, 241.449999999999989
278,0,0,0,0, 168.129999999999995,  15.119999999999999, 241.449999999999989
279,0,0,0,0, 162.490000000000009,  17.300000000000001, 238.159999999999997
280,0,0,0,0, 156.479999999999990,  22.379999999999999, 234.479999999999990
281,0,0,0,0, 150.759999999999991,  28.420000000000002, 231.129999999999995
282,0,0,0,0, 144.389999999999986,  35.799999999999997, 227.270000000000010
283,0,0,0,0, 139.439999999999998,  40.750000000000000, 224.580000000000013
284,0,0,0,0, 136.599999999999994,  36.270000000000003, 223.699999999999989
285,0,0,0,0, 131.949999999999989,  30.940000000000001, 220.430000000000007
286,0,0,0,0, 128.430000000000007,  26.039999999999999, 218.810000000000002
287,0,0,0,0, 125.069999999999993,  21.640000000000001, 217.129999999999995
288,0,0,0,0, 199.580000000000013,  21.100000000000001, 276.230000000000018
289,0,0,0,0, 177.819999999999993,  11.730000000000000, 258.629999999999995
290,0,0,0,0, 174.340000000000003,  14.680000000000000, 256.199999999999989
291,0,0,0,0, 170.949999999999989,  20.149999999999999, 254.610000000000014
292,0,0,0,0, 164.439999999999998,  35.490000000000002, 250.289999999999992
293,0,0,0,0, 158.150000000000006,  42.930000000000000, 246.699999999999989
294,0,0,0,0, 152.789999999999992,  49.229999999999997, 243.900000000000006
295,0,0,0,0, 149.740000000000009,  45.399999999999999, 242.419999999999987
296,0,0,0,0, 146.150000000000006,  41.850000000000001, 240.280000000000001
297,0,0,0,0, 139.770000000000010,  35.909999999999997, 235.569999999999993
298,0,0,0,0, 146.330000000000013,  31.230000000000000, 243.460000000000008
299,0,0,0,0, 143.400000000000006,  39.780000000000001, 239.580000000000013
300,0,0,0,0, 109.140000000000001,   6.630000000000000, 206.310000000000002
301,0,0,0,0, 112.900000000000006,  11.430000000000000, 210.860000000000014
302,0,0,0,0, 117.200000000000003,  16.960000000000001, 216.039999999999992
303,0,0,0,0, 122.590000000000003,  22.940000000000001, 222.000000000000000
304,0,0,0,0, 128.229999999999990,  30.050000000000001, 228.629999999999995
305,0,0,0,0, 133.330000000000013,  25.660000000000000, 234.250000000000000
306,0,0,0,0, 137.560000000000002,  19.109999999999999, 239.610000000000014
307,0,0,0,0, 114.959999999999994,  15.490000000000000, 205.569999999999993
308,0,0,0,0, 106.909999999999997,  12.090000000000000, 195.289999999999992
309,0,0,0,0, 106.819999999999993,   9.029999999999999, 205.560000000000002
310,0,0,0,0, 104.519999999999996,  13.630000000000001, 205.020000000000010
311,0,0,0,0, 102.709999999999994,  18.530000000000001, 204.780000000000001
312,0,0,0,0, 101.109999999999999,  27.170000000000002, 204.550000000000011
313,0,0,0,0,  99.719999999999999,  21.180000000000000, 204.770000000000010
314,0,0,0,0,  98.840000000000003,  16.250000000000000, 205.120000000000005
315,0,0,0,0,  97.519999999999996,  11.480000000000000, 204.830000000000013
316,0,0,0,0,  96.439999999999998,   7.460000000000000, 204.610000000000014
317,0,0,0,0,  87.810000000000002,  19.329999999999998, 188.409999999999997
318,0,0,0,0,  85.239999999999995,  25.500000000000000, 188.139999999999986
319,0,0,0,0,  84.620000000000005,  30.890000000000001, 189.210000000000008
320,0,0,0,0,  81.870000000000005,  25.840000000000000, 187.939999999999998
321,1,0,1,0,  80.340000000000003,  14.260000000000000, 187.539999999999992
322,0,0,0,0,  80.969999999999999,  10.270000000000000, 189.259999999999991
323,0,0,0,0,  81.719999999999999,   8.640000000000001, 190.860000000000014
324,0,0,0,0,  80.989999999999995,  11.119999999999999, 190.689999999999998
325,0,0,0,0,  80.510000000000005,  16.469999999999999, 190.770000000000010
326,0,0,0,0,  81.930000000000007,  20.770000000000000, 192.400000000000006
327,0,0,0,0,  82.260000000000005,  26.320000000000000, 192.740000000000009
328,0,0,0,0,  83.329999999999998,  30.289999999999999, 193.669999999999987
329,0,0,0,0, 126.569999999999993,  18.520000000000000, 195.520000000000010
330,0,0,0,0, 122.189999999999998,  14.859999999999999, 196.199999999999989
331,0,0,0,0, 119.450000000000003,  10.670000000000000, 197.870000000000005
332,0,0,0,0, 116.799999999999997,   6.080000000000000, 200.580000000000013
333,0,0,0,0, 107.299999999999997,   7.120000000000000, 206.770000000000010
334,0,0,0,0, 103.250000000000000,  12.210000000000001, 207.340000000000003
335,0,0,0,0, 102.409999999999997,  15.680000000000000, 209.879999999999995
336,1,0,1,0,  98.650000000000006,  21.660000000000000, 211.400000000000006
337,0,0,0,0,  97.980000000000004,  21.309999999999999, 214.389999999999986
338,0,0,0,0,  95.719999999999999,  18.180000000000000, 216.189999999999998
339,0,0,0,0,  94.900000000000006,  17.550000000000001, 220.039999999999992
340,0,0,0,0,  94.109999999999999,  17.820000000000000, 222.099999999999994
341,0,0,0,0,  93.219999999999999,  17.739999999999998, 224.919999999999987
342,0,0,0,0,  92.480000000000004,  14.570000000000000, 226.509999999999991
343,0,0,0,0,  92.049999999999997,  10.010000000000000, 229.289999999999992
344,0,0,0,0,  91.349999999999994,   6.760000000000000, 231.919999999999987
345,0,0,0,0,  89.769999999999996,   8.350000000000000, 233.509999999999991
346,0,0,0,0, 119.260000000000005,  13.180000000000000, 225.060000000000002
347,0,0,0,0, 115.650000000000006,  15.990000000000000, 224.860000000000014
348,0,0,0,0, 113.140000000000001,  21.329999999999998, 226.729999999999990
349,0,0,0,0, 111.870000000000005,  26.190000000000001, 229.060000000000002
350,0,0,0,0, 110.030000000000001,  31.559999999999999, 231.129999999999995
351,0,0,0,0, 109.599999999999994,  24.359999999999999, 236.080000000000013
352,0,0,0,0, 107.549999999999997,  16.800000000000001, 239.219999999999999
353,0,0,0,0, 107.689999999999998,  13.430000000000000, 242.289999999999992
354,0,0,0,0, 106.909999999999997,   8.600000000000000, 244.629999999999995
355,0,0,0,0, 106.200000000000003,   5.090000000000000, 247.430000000000007
356,0,0,0,0, 111.099999999999994,   7.920000000000000, 251.419999999999987
357,0,0,0,0, 116.010000000000005,   9.430000000000000, 255.439999999999998
358,0,0,0,0, 121.640000000000001,  11.900000000000000, 267.680000000000007
359,0,0,0,0, 113.980000000000004,   5.920000000000000, 260.209999999999980
360,1,0,1,0,  96.650000000000006,   7.830000000000000, 249.729999999999990
361,0,0,0,0,  96.230000000000004,  10.779999999999999, 247.389999999999986
362,0,0,0,0,  95.969999999999999,   3.300000000000000, 243.860000000000014
363,0,0,0,0,  98.900000000000006,   4.730000000000000, 253.669999999999987
364,0,0,0,0, 113.280000000000001,   9.670000000000000, 261.269999999999982
365,0,0,0,0, 115.680000000000007,  13.720000000000001, 265.379999999999995
366,0,0,0,0, 116.540000000000006,  12.340000000000000, 269.209999999999980
367,0,0,0,0, 118.579999999999998,  15.710000000000001, 273.500000000000000
368,0,0,0,0, 120.489999999999995,  17.730000000000000, 277.019999999999982
369,0,0,0,0, 122.150000000000006,  20.699999999999999, 279.980000000000018
370,0,0,0,0, 126.069999999999993,  24.789999999999999, 285.050000000000011
371,0,0,0,0, 128.020000000000010,  20.190000000000001, 287.839999999999975
372,0,0,0,0, 130.340000000000003,  14.270000000000000, 291.160000000000025
373,0,0,0,0, 109.989999999999995,  20.489999999999998, 270.980000000000018
374,0,0,0,0, 104.040000000000006,   4.340000000000000, 261.610000000000014
375,0,0,0,0, 106.260000000000005,   8.310000000000000, 264.680000000000007
